OTUID	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23
NCBI2714928	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NCBI2714930	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2714933	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0
NCBI2714936	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	6	0	0	15	0	0	0
NCBI2714937	304	300	546	276	415	437	182	67	443	298	163	97	245	253	305	31	136	140	340	15687	549	64	147	206
NCBI2714938	835	937	1458	242	393	660	1075	1465	978	195	171	130	374	628	797	105	93	147	998	517	1012	143	169	247
NCBI2714939	32	47	265	0	12	24	66	208	93	15	0	3	39	11	31	13	17	6	227	43	70	9	4	7
NCBI2714940	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NCBI2714941	116	113	47	6	65	39	96	265	225	18	24	23	0	43	88	14	14	6	89	90	69	18	32	0
NCBI2714942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NCBI2714944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2714945	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	12
NCBI2714948	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2714949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NCBI2714952	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
NCBI2715131	5	1	5	0	2	2	4	3	3	2	3	0	0	3	3	0	0	1	1	1	2	1	2	6
NCBI2715212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0
